dotfiles_work	active	root	2025-08-25T20:09:51Z	2025-08-25T20:02:26Z		
lnav	active	fork	2025-08-03T16:08:41Z	2025-08-03T13:56:34Z	Log file navigator	http://lnav.org
gh-dash	active	fork	2025-08-03T16:11:17Z	2025-07-21T22:25:37Z	A beautiful CLI dashboard for GitHub 🚀 	https://dlvhdr.github.io/gh-dash
pinecone-VSB	active	fork	2025-08-02T22:09:55Z	2025-07-18T01:31:21Z	Vector Search Benchmarking suite	
openai_cli	active	root	2025-07-20T14:07:12Z	2025-07-17T03:52:10Z	archiving and backup tool for backing up data generated via your OpenAI account.	
terraform-docs	active	fork	2025-08-03T08:54:06Z	2025-07-16T07:06:02Z	Generate documentation from Terraform modules in various output formats	https://terraform-docs.io
dotfiles	active	root	2025-07-16T05:00:05Z	2025-07-16T05:00:02Z	a collection of personal Linux dotfiles	
ngrok.plugin.zsh	active	fork	2025-08-03T09:35:20Z	2025-02-24T14:39:54Z	A Zsh plugin to auto-load ngrok	
tmux-ssh-syncing	active	fork	2025-08-03T08:58:54Z	2025-01-18T11:17:04Z	A zsh plugin to sync tmux window names with ssh sessions	
caper-bush	active	fork	2025-08-03T00:58:46Z	2024-12-03T22:26:40Z	An Oh My Zsh plugin that enhances Git's tab autocomplete by using AI to generate concise, context-aware summaries of staged changes for thoughtful commit messages.	
pinecone-canopy	active	fork	2025-08-02T22:06:53Z	2024-11-13T06:32:28Z	Retrieval Augmented Generation (RAG) framework and context engine powered by Pinecone	https://www.pinecone.io/
comfyui-hairglasses-mix	archived	root	2025-07-17T00:24:39Z	2024-10-29T07:21:10Z		
cmatrix	active	fork	2025-08-03T08:51:20Z	2024-08-21T02:41:08Z	Terminal based "The Matrix" like implementation	
zsh-cdr	active	fork	2025-08-03T01:18:09Z	2015-09-10T17:12:14Z	Easy setup of cdr for zsh.	
